food_name,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g
"Mango, Ataulfo, peeled, raw",78.47,0.69,17.40,0.68
"Corn flour, masa harina, white or yellow, dry, raw",376.07,7.56,76.69,4.34
"Pear, Anjou, green, with skin, raw",63.66,0.31,14.77,0.37
"Plum, black, with skin, raw",58.68,0.58,13.46,0.28
"Rice, red, unenriched, dry, raw",369.83,8.56,76.15,3.44
"Sorghum bran, white, unenriched, dry, raw",402.79,11.17,68.70,9.26
"Sorghum flour, white, pearled, unenriched, dry, raw",364.02,10.21,73.51,3.24
"Sorghum grain, white, pearled, unenriched, dry, raw",369.87,10.25,74.87,3.27
"Sorghum, whole grain, white, dry, raw",372.59,10.08,73.57,4.22
"Plantains, overripe, raw",130.34,1.17,29.19,0.99
"Chicken, drumstick, meat and skin, raw",126.88,18.36,-0.48,5.94
"Chicken, thigh, meat and skin, raw",188.58,17.11,-0.17,13.35
"Chicken, wing, meat and skin, raw",169.39,18.41,-0.46,10.64
"Chicken, breast, meat and skin, raw",128.62,21.41,-0.43,4.78
"Lamb, ground, raw",237.61,17.46,-0.25,18.64
"Bison, ground, raw",159.45,19.88,-0.15,8.88
"Beef, short loin (NY strip steak), raw",190.04,21.33,0.22,11.54
"Beef, tenderloin steak, raw",143.20,21.09,0.18,6.46
"Beef, top sirloin steak, raw",140.14,21.98,0.22,5.71
"Pork, chop, center cut, raw",140.53,22.81,-0.56,5.48
"Pork, belly, with skin, raw",383.27,15.20,-0.71,35.83
"Pawpaw, peeled, seeded, raw",4.61,1.15,,
"Squash, pie pumpkin, peeled, seeded, raw",3.42,0.85,,
"Squash, spaghetti, peeled, seeded, raw",3.17,0.79,,
"Rutabaga, peeled, raw",3.55,0.89,,
"Blackberries, raw",6.11,1.53,,
"Tomatillos, dehusked, raw",4.26,1.06,,
"Cabbage, napa, leaf, destemmed, raw",4.26,1.06,,
"Leeks, bulb and greens, root removed, raw",5.87,1.47,,
"Green onion, (scallion), bulb and greens, root removed, raw",2.68,0.67,,
"Shallots, bulb, peeled, root removed, raw",5.51,1.38,,
"Juice, prune, shelf-stable",1.69,0.42,,
"Juice, pomegranate, from concentrate, shelf-stable",,0.00,,
"Juice, tart cherry, from concentrate, shelf-stable",0.59,0.15,,
"Anchovies, canned in olive oil, with salt, drained",206.07,26.94,2.41,9.85
